Locacion_usuario,Locacion_usuario
"Lima, Peru 🇵🇪",3
"Lima, Perú",33
"Lima, Perú ",11
"Lima, Perú S. America",1
"Lima, Perú.",1
"Lima, Perú. ",1
Lima- Perú,1
Lima-Peru,5
Lima-Perú,7
Linares,2
"Linares, España",1
"Lince, Lima",1
"Lince,Lima,Peru",2
"Lisbon, Portugal",2
Llanquihue,1
Lleida,2
"Lleida, Catalunya",4
"Lleida, España",1
"Lleida, puta Espanya",1
Lo que quedó de Venezuela,1
"Logroño, España",1
Logroño.,1
Londinium,1
London and Barcelona CAT,1
London-UK,1
Londres y otros sitios...,2
"Los Angeles, CA",3
"Los Angeles, California",2
"Los Barrios, España",2
"Los Cabos, Baja California Sur",2
Los Madriles,1
"Los Mochis, Sinaloa, México",2
"Los Molinos del Rey, España",2
Los Paraísos de Carrasco,2
"Los Santos, Vinewood Hills",1
"Lugo, Galicia",1
Luthadel,1
"Lutia, 300 estadios a Numancia",1
"Láchar, España",1
M34,1
MDZ | SPC | SYD,2
MEDELLIN,2
MELILLA,2
MEXICO,3
MG//ES,2
MX,6
Maceió,1
Machala City,2
"Machala, Ecuador",3
Macondo,10
"Macondo, Mi imaginación",1
"Macul, Chile",1
Madri- guera,2
Madrid,201
Madrid ,7
Madrid (España),3
Madrid (Spain),4
Madrid - Cuenca ,2
Madrid - ESPAÑA,3
Madrid - España,7
Madrid - Spain,7
Madrid / Ayna,2
Madrid España,1
Madrid Sur-Gijón,1
Madrid o por ahí.,1
Madrid y Lanzarote,4
Madrid y de Bilbo,1
Madrid 🇪🇸 ,6
"Madrid, Colombia",1
"Madrid, Comunidad de Madrid",86
"Madrid, Comunidad de Madrás ",1
"Madrid, ESPAÑA",1
"Madrid, España",57
"Madrid, España ",1
"Madrid, España 🌍",1
"Madrid, Latinoamérica, USA",2
"Madrid, Mérida",1
"Madrid, Nibelheim",1
"Madrid, Spain",32
"Madrid,Cantabria",2
"Madrid,España",1
"Madrid,Spain.",1
Madrid-Colònia-Badia-Llorito,1
Madrid-Salamanca-CDMX,1
Madrid-Valladolid,1
Madrid. España,4
Madrid. Spain,3
Madrid.España,1
Madrid/Alicante,1
Madrid/Cuenca. Spain.,1
Madrid/España/UE,1
Madroñera (Cáceres),3
Madrí - España,1
"Maipú, Chile",7
"Majadahonda, España",7
Malaga,5
"Malaga, Spain",2
"Maldonado, Uruguay",3
Mallorca,3
Malta,1
Malta - Barcelona ,1
Managua,2
"Managua, Nicaragua",1
"Manchester, England",1
Mandalore,1
Manizales,1
"Manizales, Colombia",3
"Manresa, Catalunya",3
Mar del Plata,1
"Mar del Plata, Argentina",8
"Marabá, Brasil",1
Maracaibo,7
Maracaibo - Venezuela,2
"Maracaibo, Venezuela",7
"Maracaibo, Venezuela.",2
Maracaibo- Venezuela.,1
Maracaibo-Venezuela,1
Maracanã setor norte,2
Maracay,3
Maracay Venezuela,1
Maracay ~ Venezuela,1
"Maracay, Ciudad Jardín",1
"Maracay, Venezuela",1
Maresme - 9Barris,3
Margarita,1
"Mariara, Venezuela",1
"Marinha Grande, Portugal",2
Marte,1
Marte ,2
"Martorell, España",1
Marín City,1
Mas alla que tu ,6
Mas cerca de lo q se imaginan.,1
Masaya,1
Matagalpa,1
"Mataró, España",3
Matrix 3.0 (CaribbeanDivision),1
Mazatenango,1
"Maó, Spain",4
"Mburucuyá, Corrientes",1
Mcbo. Edo. Zulia,1
Mcy - Vzla (Mi corazón acá).,4
Medellin - Colombia,1
Medellin -Antioquia,1
"Medellin, Colombia",1
Medellín,3
"Medellín, Antioquia",1
"Medellín, Colombia",44
"Medellín, envigado",1
Mediaset España,10
Medina Del Campo,1
Medina del Campo,1
Mediterráneo,1
"Mejicanos, El Salvador",1
"Melilla, España",2
Mendoza,1
"Mendoza , Argentina",1
"Mendoza, Argentina",15
"Mendoza, Argentina 🍷",1
Mendoza- Argentina,3
Mercurio ,3
Merida - Venezuela,1
"Merida yucatan,Mexico",1
"Merida, Venezuela",1
"Merlo, San Luis ",1
"Mesa de Guanipa, Venezuela",1
"Meta, Colombia",1
"Metropolitana de Santiago, Chi",6
"Mexicali, B.C. México",1
"Mexicali, Baja California",4
Mexico,17
Mexico City,4
Mexico City/World,1
Mexico/ Oaxaca,1
Mi Casa,3
Mi casa,1
Mi casita de sololi ,1
Mi estancia personal,2
Mi identidad es vacua...,2
Mi querencia ,1
Miami - Rusia,1
Miami Edo.de flo/,2
"Miami, FL",3
"Miami, Florida",1
"Miami,USA",1
Miami.                Te Sigue,2
Michoacan,2
Midgard,1
Midicina UVa,2
Mieres (Puxa Asturies),4
Mijas (Málaga) - España,2
"Milagro, Ecuador",1
Milky way,1
Minatitlan,3
"Miraflores, Peru",1
"Miramar, Argentina",2
Mis opiniones son personales,1
Missuri,1
"Moaña, España",2
Mobilsocial ,2
"Moca, República Dominicana",4
Moderdonia,2
"Molina, socio.",1
MolinadSegura Alcàzares Madrid,1
"Monagas, Venezuela",1
"Mondoñedo, España",1
Mongolia,2
Monte Olimpo,1
Monterrey,3
Monterrey Mexico,2
"Monterrey, Mexico",1
"Monterrey, N.L",1
"Monterrey, Nuevo Leon",3
"Monterrey, Nuevo León",9
"Monterrey, Tijuana",1
"Montería, Colombia",2
Montevideo,3
"Montevideo, Uruguay",19
"Montevideo, Uruguay.",1
Montgomery TX,1
"Montréal, Québec",1
Montserrat,1
Moonshine,1
"Moquegua, Peru",1
Mordor,3
"Morelia, Michoacán de Ocampo",2
"Morelia, Michoacán, México",1
Morelos,1
"Morelos, México",1
"Moreno, -BS AS -Argentina",1
"Morón, Argentina",12
Mostoles ,2
Mrs. Valencia ,5
Mundo de las ideas ,1
Mundo mundial,1
Mundo mágico de Twitterlandia,2
"Munich, Germany",1
Murcia,6
Murcia / Alacant,3
"Murcia, España",14
"Murcia, Imperio de España",1
Murcia-Londres,1
Muy de izquierdas y del Barça,1
MÉRIDA,1
Málaga,2
Málaga (España),3
"Málaga, Andalucía",11
"Málaga, Andalucía, España",1
"Málaga, España",26
"Málaga, la bella",1
Más a la derecha que Trump,1
"Mérida, Venezuela",4
"Mérida, Yucatán",6
"Mérida,Yucatán,México",2
México,70
México ,1
México D.F.,2
México Lindo y Querido,1
México y France,1
"México, CDMX.",3
"México, D.F.",2
"México, Distrito Federal",1
"México, Mérida",1
"México, Tenochtitlan",1
"Móstoles, España",3
NO CONSUMAN🇪🇸 ,1
"NY, USA",2
"Naci en Lleida, vivo Zaragoza,",1
Nación Humana Universal,2
Nací en el Mediterráneo ,3
"Naguanagua, Venezuela",1
"Narashino-shi, Chiba",1
Narnia 🔁,6
Nathan: 21-01 𑁤 Vin: 18/11/20,1
National District,4
Navegant per la galaxia,1
NetherRealm,1
"Neuquén, Argentina",7
Neverland,1
"New Jersey, USA",2
"New Madrid, MO",1
New york-France ,1
Ni sé dónde me ubico,1
Nicaragua,44
Nicaragua libre de sandinismo,1
Nicaragua.,2
Night City,1
Niterói,1
Niza esquina con longa,1
No,1
Noreste de China,1
"Norman, OK",1
Noroeste,1
Norte de España,1
North Minerva Reef,1
Noruega,1
Nowhere,2
"Nueva Esparta, Venezuela",2
Nueva España / Méjico. ,1
Nueva Nicaragua,1
"Nueva York, USA",1
"Nuevo León, México",1
"Nájera, España",1
"Nápoles, Campania",3
"Oaxaca, Mexico",1
"Oaxaca, México",3
"Oaxaca, México.",1
Oberbayern (Deutschland),2
"Oblast de Kamchatka, Rusia",2
Obvio:  mi opinión es personal,1
Océano pacífico. ,1
"Ojmiakón, centro de espionaje ",1
"Olavarría, Argentina",1
Olivos,1
Omnipresente,1
Omnipresente......,1
Onde me leve o vento!!,2
Oniria,1
Ookolhufinolhu,2
Orbitando ando! 🚀,1
Ordenanza Costa.,1
"Ordizia, Guipuzcoa.",1
"Orillas Río Eurolarva, Murcia",1
Orizaba,1
"Orizaba, Veracruz, México.",3
"Orlando, FL",1
"Orne, Basse-Normandie",1
Oruro-Bolivia,1
Oscar a Amy Adams ♀⠀,1
Osuna,1
Ourense,1
Ourense 🏡 // Madrid 🏢,3
Ourense-Santander🇪🇸🇪🇺🌍🔬☕,1
Oviedo,3
Oviedo - Avilés - Istanbul,3
"Oviedo, Asturias 🇪🇸 ",1
"Oviedo, España",6
Oviedo/Uviéu|Asturias/Asturies,1
Oxford/Washington DC,1
Oz,2
PANAMA,6
PANAMA ,2
PCIA DE BUENOS AIRES,2
PMI-BIO 🛫🛬 y viceversa. ,1
PPCC (MATARÓ) ,1
PUERTA DEL ANGEL// MADRID,1
PUERTO RICO,2
"Pachuca de Soto, Hidalgo",5
"Padre Las Casas, Chile",1
"Palafolls, El Mareme",3
Pale blue dot,1
"Palencia, España",2
Palma de Mallorca,3
Palma de Mallorca - España,1
"Palma, España",5
"Palma, Països Catalans.",2
Palma-Illes Balears-,2
"Palmira, Colombia",3
"Palmira, Venezuela",2
Palmira-Valle del cauca,1
Palos (Huelva) / Salamanca,2
"Pamplinas, España",2
Pamplona,2
"Pamplona, Central Visayas",1
"Pamplona, España",5
"Pamplona, Navarra",1
Panama,40
"Panama, Ciudad de Panama",3
"Panama, Panama City",1
Panamá,62
Panamá ,5
Panamá 🇵🇦,3
Panamá 🇵🇦 ,1
"Panamá, La Chorrera",1
Panamá-Veraguas ,2
Paper Town,1
"Paracuellos de Jarama, España",2
Paraguay,5
Paralelo 15 °,1
Paralelo 58//Cielo Drive 10050,2
Paris,1
"Parla, España",1
"París, Francia",1
Pasto ,1
Pasto Nariño Colombia🌃🌌,1
Patagonia Argentina,1
"Patos, PB",1
País Valencià,3
País Valencià-Països catalans ,1
País Vasco,3
País de nunca jamás ,3
País valència ....,1
Països Catalans,1
"Pembroke Pines, FL",2
Penal de Isla Tortuga,2
Pepperland,1
"Pereira, Colombia",5
Peronia ✌🏻💖,1
Perpinyà,1
Peru,8
"Peru, IN",1
Perú,21
Perú ,1
"Pichincha, Ecuador",3
"Picos,Piauí, Brasil",1
"Pilar, Argentina",1
Piura - Peru,1
"Piura, Peru",3
Planet Earth,1
Planeta Tierra,8
"Planeta Tierra, No Ve, no Ve",5
Planeta Tierra; El Multiverso,2
Planta Nuclear de Springfield,1
Platges de Lleida,2
Platonic World,1
"Playa de Malibú, con la Pamela",1
"Playas del Sur, Puebla",2
"Plaza Cagancha, Montevideo.",1
"Plaza de la Ciudadela 2, DF",1
Polinesia Francesa,1
"Polo Sur , Antártida ",1
Polombia,2
"Ponferrada, España",1
Ponferrada-El mundo,2
"Ponta da Praia, Santos",3
Pontevedra (Galicia-Spain),1
Pontevedra - Figueres. España,1
"Pontevedra, Galiza",1
"Popayan, Cauca, Colombia",1
Por ahí ,3
Por ahí perdió,1
Por ahí.,2
Por ahí...,2
Por el Norte,2
Por todo el mundo,3
"Porlamar, Venezuela",2
Porto Alegre,1
"Porto, Portugal",2
"Portoviejo, Ecuador",2
"Portoviejo, Manabí",2
Portugal,2
Posadas,3
"Posadas, Argentina",1
Postdoc-PhD-MBA-Eng-EI Certifi,1
"Prado, Montevideo, Uruguay",1
"Principado de Asturias, España",6
Principality of Asturias,5
Probablemente en la cama,2
Probably dead,1
"Progreso, Yucatán",1
Proletario del mundo,4
Proud 🇺🇸,1
"Providencia, Chile",2
Provincia de Bcn,2
Pty 🏳️‍🌈,2
Pucela 🏡,2
"Puebla, México",3
"Puebla, México ",3
"Puerto Ayacucho, Venezuela",1
"Puerto La Cruz, Anzoategui, Ve",1
"Puerto Ordaz, Venezuela",3
Puerto Rico,2
"Puerto Rico, Earth ",2
Puerto de Béjar (Salamanca),3
Puerto de Santa Maria,2
Puertollano (Ciudad Real),1
Puyo - Pastaza - Ecuador,1
"Pánuco, Veracruz de Ignacio de",2
Querétaro,2
"Querétaro, México",2
"Querétaro, Querétaro Arteaga",1
"Quevedo, Ecuador",1
"Quilmes, Argentina",1
"Quintana Roo, México",1
"Quintáns Ave. Noallork, Po",1
Quito,26
Quito ,2
Quito - Ecuador,7
Quito - Ecuador ,1
Quito Ecuador,1
Quito Ecuador ,1
Quito La Carita de Dios !,1
"Quito, Ecuador",41
"Quito, Ecuador🇪🇨",1
"Quito, Guayaquil, Esmeraldas",1
Quito-Ecuador,5
R. I. de Arequipa,1
RD,1
REINO DE ESPAÑA,2
ROMA,1
Radiant Garden (jeré) ,2
"Rafaela, Argentina",1
Rancagua,2
Rapública Indapandant Catalana,4
Ratzopolis! =) ,1
Real Oviedo,1
Realm of Sleep,1
"Recoleta, Chile",1
Record de vueltas en Oribos,1
Región de Murcia,2
Reikiavik,1
Reino Mafiocrático de España,1
Reino Unido (UK),1
Reino de España 👑 ,1
Reino de Valencia,1
Rep Independiente de Arequipa.,3
Rep. Dom.,1
Republica de Catalunya,1
Republica de Mendoza,1
Republica de Venezuela,1
Repúb. Bananera de Argenzuela.,3
República Catalana,3
República Catalana ,2
"República Catalana ""*""",1
República Catalana 🏁,5
República Dominicana,2
República Galáctica de Marvel ,4
República Popular de Orconia,3
República de Ambato ,1
República de Catalunya,7
República de Chile,1
República de España. ,2
República de Fifidonia,4
"República de Mordovia, Rusia",1
República del Espinito,2
Reus,1
Reyne De Valencia,1
"Reynosa, Tamaulipas",4
"Rimac, Peru",3
Rio Branco,2
Rio Cuarto- Córdoba,1
Rio Grande,1
Rio de Janeiro,1
Rio de Janeiro ,1
"Riobamba, Ecuador",7
Riohacha - Barranquilla ,1
"Ripollet, Cataluña",1
"Risaralda, Colombia",1
"Rivas-Vaciamadrid, España",1
Rivia ,1
Robando pentas.,1
Rocafuerte - Manabí - Ecuador,1
Rojas,1
"Rojas, Buenos Aires",1
"Roma, Lazio / Bogota, Colombia",1
Rosario - Santa Fe - Argentina,1
"Rosario, Argentina",12
"Rosario, Santa fe, Argentina",1
Rosario. Argentina.,1
Rumanía,1
"Río Cuarto, Argentina",1
"Río Negro, Argentina",1
"Río de Janeiro, Brasil",1
"S. C. de Tenerife, España",2
S.L.P. Mexico,2
"SAN CRISTOBAL, TACHIRA",2
SANTIAGO  CHILE,1
SEVILLA,1
SEVILLA ,4
SOY CHILANGO  ,1
SPAIN    barcelona,2
SPDM,1
SPW Laboratory,2
SVQ - SCL,1
Sabadell,2
Sabadell - Catalunya,3
Sabadell mala pell.,1
"Sabadell, España",3
"Sabbathell, Catalunya. ",1
Saint Gilles belgië,3
Sajonia,1
Salamanca,7
"Salamanca, Castilla y León",1
"Salamanca, España",1
"Salamanca, Spain 🌾",1
Salamanca/ Delft,1
"Salina Cruz, Oaxaca",2
"Salt Lake City, UT",1
Salta,1
Saltillo,1
"Saltillo, Coahuila",1
"Saltillo, Coahuila, México",2
Samborondon - Ecuador ,11
"Samborondon, Ecuador",2
"San Andrés del Rabanedo, Españ",1
"San Blas, Madrid",3
"San Clemente, Pisco, Perú ",1
San Cristobal/Mérida ,3
San Cristóbal Venezuela. Chile,1
"San Cristóbal de las Casas, Ch",1
"San Cristóbal, Venezuela",4
"San Diego, Edo. Carabobo",1
"San Esteban del Valle, España",1
San Felipe - Venezuela,1
San Fernando de Apure,1
"San Fernando, Cádiz ",1
San Francisco De Macoris  ,1
"San Francisco, Cordoba",2
"San Jose, CA",1
"San José, Costa Rica",5
"San Juan, Argentina",2
"San Juan, Puerto Rico",1
"San Junípero, Space Oddity ",1
San Luis Potosi,1
"San Luis Potosí, MX",2
"San Luis Potosí, México",4
"San Luis Río Colorado, Sonora",1
"San Luis, Argentina",2
"San Marcos, Guatemala",1
"San Marcos, Guatemala ",1
"San Miguel, Peru",7
San Nicolas De Los Garza.,3
San Nicolás de los Arroyos,1
"San Pedro Garza García, Nuevo León",2
San Pedro Sula Honduras ,2
"San Rafael, Argentina",1
San Salvador,1
"San Salvador, El Salvador",11
"San Salvador, El salvador",1
San Sebastián,1
San Sebastián de los Reyes,4
"San Sebastián de los Reyes, España",1
San Sebastián 🇪🇸🇪🇺,1
"San Sebastián, España",4
"San Vicente del Raspeig, España",2
San isidro,1
"San isidro, Peru",2
San salvador,1
"Sant Andreu de Llavaneres, España",1
Sant Andreu de la Barca,4
"Sant Andreu, Barcelona",2
Sant Boi de Llobregat,1
"Sant Boi de Llobregat, España",6
Sant Cugat del Vallès,1
Sant Cugat del Vallés,1
Sant Esteve de les Roures,4
"Sant Esteve de les roures ,CAT",2
Sant Esteve dels Roures,3
Sant Julià de Ramis,1
Sant Munt de Fems,1
"Sant Pere de Vilamajor, España",2
Sant Quirze del Valles,1
"Santa Ana, El Salvador",1
Santa Coloma de Gramenet ,1
"Santa Coloma de Gramenet, Espa",1
Santa Cruz - Bolivia,2
Santa Cruz Chile,1
Santa Cruz de Tenerife,3
"Santa Cruz de Tenerife, España",4
"Santa Cruz de Tenerife, Islas",2
Santa Cruz de la Sierra,1
"Santa Cruz, Bolivia",4
Santa Elena - Ecuador,2
Santa Fe,1
Santa Fe - Argentina,1
"Santa Fe, Argentina",5
"Santa Fé, Argentina",2
"Santa Marta, COLOMBIA",1
"Santa Marta, Colombia",2
"Santa Marta, Colombia 🇨🇴",1
"Santa Marta, Colombia.",2
Santa Rosa Lima Peru,1
"Santa Rosa de Cabal, Colombia",1
"Santa Tecla, La Libertad 🇸🇻",2
"Santa cruz de la sierra, Bolivia",1
"Santaco, España",1
Santander - ESPAÑA,1
"Santander, España",10
Santiago,6
Santiago Bernabéu,1
Santiago Chile,1
Santiago City,1
Santiago DC,1
Santiago de Chile,6
Santiago de Chile ,2
"Santiago de Compostela, España",5
"Santiago de Compostela, Spain",1
"Santiago del Teide, España",3
"Santiago, Chile",31
"Santiago, Chile.",2
"Santiago, Dominican Republic",1
"Santiago, Metropolitana de Santiago",1
Santiago. ,16
Santo Domingo,1
"Santo Domingo, R.D.",2
"Santo Domingo, RD",1
"Santo Domingo, Rep. Dominicana",1
"Santo Tomé Ctes, Argentina",1
Saturn ,1
Saturno,1
"Scottsdale, AZ",1
Sebastian Vettel's Eyes.,1
Sevilla,29
Sevilla ,2
Sevilla (España),1
Sevilla - Málaga,3
Sevilla - Sant Esteve d.Roures,2
Sevilla - Spain,1
Sevilla F.C. 🥇⚽🔝,1
"Sevilla, Andalucía",1
"Sevilla, España",31
"Sevilla, Valencina d.l.Concepc",2
"Sevilla, por la gracia de Dios",1
"Shanghai, China",2
Shile,1
"Si me buscas, me encuentras.",1
Siberia,1
Siempre en la oposición,3
Sierra de Madrid,1
SigoAquí,1
Sin ubicación,2
"Siviglia, Spagna",1
Skärvanjssön,3
"Soacha, Colombia",1
Somewhere in this Crazy World,1
Somewhere out there,1
"Sonora, México",3
"Sonora, México. ",1
Sonora/Arizona,2
South Africa,2
Space,1
Spain,18
Spain ,1
Springfield,1
Springfield (Tabarnia),1
"St Louis, Missouri",2
Star Shira,1
"Stgo, Chile y el mundo",1
"Stockholm, Sweden",2
Stroeder,1
"Sueca, España",11
Suecia,1
Suiza,1
Sunchales,1
Sur de la Florida,1
"Surco, Lima, Peru",2
"Surco, Peru",1
Switzerland,3
"São Paulo, Brasil",6
São Paulo.,1
Sαɳ αɳƚσɳισ Mιɾαɳԃα,1
TE CAGUÉ AHHH,1
"TLAXCALA, MÉXICO",2
TRIANA. SEVILLA. ESPAÑA. ,3
Tabarnia,3
"Tabarnia, España",1
Tacna - Perú,1
"Tacoma, WA",3
"Tacuarembó, Uruguay",1
Talavera de la Reina - (Spain),4
"Talca, Frutillar, Valparaiso.",2
Tamanangapio,1
Tamaulipas,1
Tampico,1
"Tampico, Tamaulipas",3
"Tangamandapio, Michoacán de Oc",1
"Tapachula, Chiapas",1
"Tapachula, Chiapas; México",1
Tatooine,2
Te Sigue,1
Te sigue,2
Tegucigalpa. ,1
Tehran,2
"Tehuacán, Puebla",1
Templo del Sol,1
"Tena, Ecuador",2
Tenerife,1
"Tenerife, Canarias ",2
"Teotihuacán, México",1
Tercermundismo latinoamericano,2
Terra das Meigas,1
Terrassa,1
"Terrassa, España",3
Territorio Comanche,2
"Texas, USA",1
Thailandia ,1
The 1975 🇨🇴,5
The Despair Faction,1
The Four Norths,1
The Netherlands,2
The Twilight Zone,1
The World miratú!,1
The batcave,1
The world is your's,6
Themyscira,2
Through the looking glass,1
Tierra Libre,2
Tierra de los Winkies - OZ,1
Tijuana,1
Tijuana ,2
"Tijuana, Baja California",1
"Tilburg, Nederland",1
Titirilquén ,1
Tlalpujahua,1
"Tlanepantla de Baz Centro, Tlalnepantla de Baz",1
"Tlaxcala, México",1
Tocando mar,1
Todas partes,2
Tokyo,1
Toledano-Portugués en Madrid,1
Toledo,3
"Toledo, España",3
Tolima,1
Tomando mate en mi Bunker🧉,5
Tomelloso El más hermoso,1
"Toronto, Ontario",3
"Torremolinos, España",1
"Torreon, coahuila",1
"Torreón, Coahuila de Zaragoza",1
"Torrington, CT",1
Tous,1
Trabajando&viviendo UE,4
"Trc,MX",1
Treinta y Tres-Montevideo,1
"Tres Cantos, España",1
Tres Cruces,1
Trig (AMB) ,1
Trinidad y Tobago,2
Troposfera,2
Trujillo,2
"Trujillo, Peru",9
"Tucacas, Falcón, Venezuela",1
"Tucumán, Argentina",2
"Tucumán, Argentina. ",1
"Tula de Allende, Hgo.",1
"Tulancingo de Bravo, #Hidalgo",1
Tumaco - Nariño,1
"Tunja, Colombia.",1
Turmero Estado Aragua,3
Tus sueños,1
"Tuxtla Gutiérrez, Chiapas",1
Twilight Town ,1
Twin Peaks,2
Twitter,1
"Táchira, Venezuela",1
Tú cora,2
UIO,1
UIO ,1
US,2
US | 1980 RMCF,1
"US: 8.312345,-62.736324",1
USA,4
"Uberaba, Brasil",2
Uganda,1
"Uganda, Nigeria",2
"Umbrete, Sevilla, España",1
Un bolardo,2
Un punto azul pálido,2
Un rato aquí y un rato allá ,3
Una andaluza en Madrid,1
Unico barrio de primera,3
United States,5
Universidad de Granada,3
Universo,4
Universo ..tu pueblo y el mío,1
"Upland, CA",2
Urdazubi,1
Uruguay,20
"Uruguay, Argentina, España",1
"Uzbequistán, España",1
VALENCIA,3
"VALENCIA, VENEZUELA",1
VIGO-GALIZA,1
VIVA EL ANARCOCAPITALISMO,1
Vagabundeando...,1
"Valdepeñas, Ciudad Real",1
Valdivia,1
"Valdivia, Chile",1
Valencia,22
Valencia - España,1
"Valencia, Comunidad Valenciana",4
"Valencia, España",20
"Valencia, País Valencià",2
"Valencia, Spain",1
"Valencia, Venezuela",2
"Valencia, edo carabobo",2
Valencia-Madrid-Barcelona,1
Valencia-Venezuela,1
Valencia.,2
Valencia. ,1
Valencia/España,2
"Valera, Venezuela",1
Valera-Venezuela,1
Vall del Ges,1
Valladolid,3
Valladolid ,4
Valladolid - España,3
"Valladolid, Castilla y León",2
"Valladolid, España",7
"Valldoreix, Catalunya ",1
"Valle del Cauca, Colombia",7
Vallekas,1
"Vallès, el bo",1
"Valongo, Portugal",2
"Valparaiso, Chile",1
"Valparaíso, Chile",1
València,6
"València, País Valencià.",1
"Valėncia, La Marina Alta",2
"Vargas, Venezuela",1
Varias. ,1
Vayekas,1
Vega Baja,1
Venecia,3
"Venezolana en Córdoba, Argenti",1
Venezuela,56
Venezuela ,1
Venezuela / España,2
Venezuela Lara- EL TOCUYO,1
Venezuela-USA.,1
Veracruz ,2
"Veracruz, Córdoba.",1
"Veracruz, Mexico. ",1
"Veracruz, México",1
"Veracruz, México ",1
"Veracruz, Veracruz de Ignacio ",1
Veracruz.,1
Vergel (poco)Radiante,1
Vic,3
"Vicente López, Argentina",1
"Victoria, Tamaulipas",1
Vieja y decadente Europa,2
Vigo,3
"Vigo, España",3
Vila-real,1
"Viladecans, Espanya",2
Vilanova i la Geltrú,1
"Villa Cariño, Dallas, TX",1
"Villa Carlos Paz, Argentina",1
Villa del Parque,1
"Villahermosa, Tabasco",1
"Villahermosa, Tabasco, México",1
"Villanueva del Pardillo,España",1
"Villarejo de Salvanés, España",1
Villarrobledo,1
"Villavicencio, Colombia",1
"Vinaròs, España",1
Vitoria,1
"Vitoria-Gasteiz, España",2
"Vitoria-Gasteiz, Euskadi",1
"Vitoria-Gasteiz, Spain",1
Vivo en el mundo,3
Vlissingen - Madrid - Tenerife,1
Vía Láctea,1
Wakanda,1
"Walnut Park, CA",1
Waterworld,1
"West End, South East",1
Who cares,1
Wilde,1
Wuhan,1
Wuhan (Hubei) / Bilbao,1
Wuhu island,2
"Xalapa, Ver.",2
"Xalapa, Veracruz de Ignacio de",1
"Xixón, Asturies.",2
"Xochimilco, Distrito Federal",4
Xpain,1
Xxxxx,1
Y este sol de la infancia...,2
Yoknapatawpha,1
"Yucatán , Nueva España",3
ZUERA,1
Zafra (Badajoz),1
Zamora,4
"Zapopan, Jalisco",1
Zaragoza,5
"Zaragoza y Uesca, México",1
"Zaragoza, España",12
"Zaragoza, República de España",1
Zaragoza. Aragón. España ,3
Zimbabwe,2
"Zipaquirá, Colombia",1
Zulia,2
"Zulia, Venezuela",2
Zulia/Venezuela,1
a saber...,1
acá ,1
"adiós censura,. me voy",1
alicante,1
all over the internet,2
almenara,1
"als peus del Montseny, Girona.",1
always near to u,2
ana ,2
anfield ,2
"anything, anywhere",2
aquí,2
aragua y caracas,1
arg,1
arg.,3
argentina,3
argentina Rosario,3
argentino,1
asly ,1
asta bandera del Zócalo ,2
averno,1
aşk var,1
bangswiftxt ,1
barcelona,5
behind the mall,1
behind you,5
bilbao,1
bog,1
bogota,5
bogotá,1
bote de basura,1
buenos aires argentina,1
"caceres, españa",1
calculando ruta...,1
caracas,9
casa de Crlh,1
catalunya,1
catalunya ,1
cdmx,2
"cerca de mi, alrededor de mi,",1
chile,1
chile ,1
chispitas | cele ♡,4
cinco saltos ,1
ciudad del desencuentro,4
collbato,1
colombia,8
con ganas de morir,3
contacto@imaginet.cl,2
conurbano,1
coslada (madrid),1
cullera (valencia),1
córdoba ,3
"de Orense, viviendo en Madrid",4
de Venezuela,2
"debajo de tu cama,en tu cabeza",2
del mundo mundial,1
desconocida,1
donde tú quieras,2
durum más cercano,1
ecuador,1
eeuu,2
el Bosque,1
el mundo,1
el mundo ,4
el paraíso,3
el último bastión de occidente,1
ela/dela,2
ella/wn/wna,1
en Alcala de Henares (Madrid),1
en Valencia,1
en algún lugar ,3
en algún lugar del mundo.,1
en cualquier canción d desamor,1
en el corazón de gowther,2
en el mundo,5
en la LIBERTAD,2
en la malasaña de los 80',1
en mi ksa ,1
en mi palacio ,2
espanya pais subnormal,1
españa,6
espein,1
estoy en off side,1
estudiantes de la plata,1
fachero,1
fondo bikini (Malaga),1
fuck off,1
gades/madrid,2
galicia,2
guadahortuna,2
guayaquil - ecuador,2
harry's heart,1
he/him,2
he/him 18,2
he/they,3
hell,1
heroica fantastica y jodida,1
honeymoon ave,3
https://github.com/Gonzalo2310,1
https://hazmedereir.home.blog/,1
https://www.youtube.com/watch?,1
in my world,2
in the mierda,4
in the world,1
in your mind,1
inferno,1
info(@)iusport.com,1
intergaláctica,1
"iris, 25, ella/she",1
iupi / aibo,2
izuku,1
jjaja k t importa,1
jsjsjsks,1
kónkosto VK.Matruit.,2
la Florida ,1
la ciudad más bonita del mundo,3
"lacoru, neno",2
lantejuela,1
lanzarote,1
las palmas de gran canaria,1
lavapies - tabernes de corazón,1
"les Borges Blanques, Espanya",5
lima,3
"lima ,peru",1
lima - PERU,5
lima city,2
lima peru,1
"lima,peru",2
localhost,1
londres,1
lp,1
lu - carlita 🤍,1
madri,1
madrid,10
madrid torrelodones,1
madrid | sevilla,1
madriz con z,2
malaga,3
mallorca,2
mar del plata,1
maracay venezuela,4
mardel,1
maria & ΣMILIΔ,1
medellin,1
medellin colombia,1
meperd0n as¿,2
merida,1
mexico,1
mexico df,1
mi casa,1
mi pequeño mundo,1
millie's best friend,5
misiones,1
moderador(@)elconfidencial.com,47
moraleja,1
msiawu🤍,2
mumi bella ,1
mundo cruel,2
murcia,1
málaga,1
navarrete,2
noia,1
nowhere,1
