Assignment group,FullDescr,Resolution notes
DPSMAN Global L2,"SYSA (IOCALERT) CTM3 SYSA-CTM282I GPKBND16 J20713 ENDED NOTOK RC=S522 EventID: 20220405-1649211081-10867218-SYSA
EventSender: ATF-IOC-1
EventType: PERFORMANCE
EventSenderType: ATF-IOC-1
EventClass: IOCALERT
EventSeverity: 3
Hostname: SYSA
Message: CTM3 SYSA-CTM282I GPKBND16 J20713 ENDED NOTOK RC=S522 !           *                                     U-IOADMIN .Occurred @ 22:12:02
ConfigItemIDType: CIID
ConfigItemID: SNC.G.P01.013947179
SupportGroup: 
TTCategory: Mainframe.JobSchedule.ProdCntl
CorrelationTime: SEV processed event after 5 min  
TimeOccured: 2022-04-06T02:11:21Z
CreatedBy: ATF-EVENTROUTER-1

Additional Attributes:
incident_urgency: 3
FunctionalOrganization: SCHNEIDER ELECTRIC
incident_impact: 3


MK
Manisha Kumari

Work notes•2022-04-05 22:56:36

Saran has been notified for the job failure.
@service desk please raise the sev2 ticket to DPSMAN.
GPKBND16 J20713 ENDED NOTOK RC=S522 !","Problem: CTM3 SYSA-CTM282I GPKBND16 J20713 ENDED NOTOK RC=S522 !           *          

Cause:[ Main Cause Type: Infrastructure;Sub Cause Type: High CPU usage ]

Cause description : Abend S522 - TIME=NOLIMIT

Action taken : High CPU usage caused teh error out, once mainframe become healthy.
restarted job from abended step and job completed fine.

Customer Confirmation : NA"
DPSMAN Global L2,"SYSA (IOCALERT) CTM3 SYSA-CTM282I GPPCS206 J02882 ENDED NOTOK RC=1808 !           *                                     U-IOADMIN .Occurred @ 04:25:51 EventID: 20220424-1650788729-7145871-SYSA
EventSender: ATF-IOC-1
EventType: PERFORMANCE
EventSenderType: ATF-IOC-1
EventClass: IOCALERT
EventSeverity: 3
Hostname: SYSA
Message: CTM3 SYSA-CTM282I GPPCS206 J02882 ENDED NOTOK RC=1808 !           *                                     U-IOADMIN .Occurred @ 04:25:51
ConfigItemIDType: CIID
ConfigItemID: SNC.G.P01.013947179
SupportGroup: 
TTCategory: Mainframe.JobSchedule.ProdCntl
CorrelationTime: SEV processed event after 5 min  
TimeOccured: 2022-04-24T08:25:29Z
CreatedBy: ATF-EVENTROUTER-1

Additional Attributes:
incident_impact: 3
FunctionalOrganization: SCHNEIDER ELECTRIC
incident_urgency: 3


JM
Jenefer M
Work notes•2022-04-24 09:58:58
Hi SD Team,
Please create a SEV3 incident for DPSMAN group.
Job GPPCS206 J02882 ENDED NOTOK RC=1808 !
Notified to Saran","Problem: CTM3 SYSA-CTM282I GPPCS206 J02882 ENDED NOTOK RC=1808 !           *       

Cause: [ Main Cause Type: Infrastructure ;Sub Cause Type: FTP service unavailable ]

Cause description :  FTP service unavailable

Action taken : Ran FTP manually and force completed the job.

Customer Confirmation : NA"
DPSMAN Global L2,SYSA (IOCALERT) CTM3 SYSA-CTM282I LMFAS211 J01929 ENDED NOTOK RC=JFAIL!           *                                     U-CA7MILW .Occurred @ 06:00:58 ,"Problem - SYSA (IOCALERT) CTM3 SYSA-CTM282I LMFAS211 J01929 ENDED NOTOK RC=JFAIL!           * 

cause: [ Main Cause Type:Resource ;Sub Cause Type: Required File not available  ]

cause description : Required  DATA SET PINV.ICS0670.FAS2.BFL NOT FOUND 

Action: ran the unix job UXFASLMX which creates the file and restarted the job.
Job completed fine.

User confirmation - NA"
DPSMAN Global L2,"SYSA (IOCALERT) CTM3 SYSA-CTM282I MLCAPG01 J27888 ENDED NOTOK RC=2974 !           *                                     U-IOADMIN .Occurred @ 03:11:29 **SWIVEL TICKET**

EventID: 20220523-1653289885-651328-SYSA
EventSender: ATF-IOC-1
EventType: PERFORMANCE
EventSenderType: ATF-IOC-1
EventClass: IOCALERT
EventSeverity: 3
Hostname: SYSA
Message: CTM3 SYSA-CTM282I MLCAPG01 J27888 ENDED NOTOK RC=2974 !           *                                     U-IOADMIN .Occurred @ 03:11:29
ConfigItemIDType: CIID
ConfigItemID: SNC.G.P01.013947179
SupportGroup: 
TTCategory: Mainframe.JobSchedule.ProdCntl
CorrelationTime: SEV processed event after 5 min  
TimeOccured: 2022-05-23T07:11:25Z
CreatedBy: ATF-EVENTROUTER-1

Additional Attributes:
FunctionalOrganization: SCHNEIDER ELECTRIC
incident_urgency: 3
incident_impact: 3


KS
Kesavanarayanan S
Work notes•2022-05-23 03:54:27
A ticket needs to be assigned DPSMAN with SEV2.","Problem: SYSA (IOCALERT) CTM3 SYSA-CTM282I MLCAPG01 J27888 ENDED NOTOK RC=2974 !           *  

Cause: [ Main Cause Type: Infrastructure ;Sub Cause Type: FTP service unavailable ]

Cause description :  FTP service unavailable

Action taken : Restarted the job once FTP services are available. Job completed fine.

Customer Confirmation : NA"
DPSMAN Global L2,"SYSA (IOCALERT) CTM3 SYSA-CTM282I MLCOT922 J12873 ENDED NOTOK RC=SB37 ! SYSA (IOCALERT) CTM3 SYSA-CTM282I MLCOT922 J12873 ENDED NOTOK RC=SB37 !           *                                     U-IOADMIN .Occurred @ 20:03:29


EventID: 20220503-1651622567-2194085-SYSA
EventSender: ATF-IOC-1
EventType: PERFORMANCE
EventSenderType: ATF-IOC-1
EventClass: IOCALERT
EventSeverity: 3
Hostname: SYSA
Message: CTM3 SYSA-CTM282I MLCOT922 J12873 ENDED NOTOK RC=SB37 !           *                                     U-IOADMIN .Occurred @ 20:03:29
ConfigItemIDType: CIID
ConfigItemID: SNC.G.P01.013947179
SupportGroup: 
TTCategory: Mainframe.JobSchedule.ProdCntl
CorrelationTime: SEV processed event after 5 min  
TimeOccured: 2022-05-04T00:02:47Z
CreatedBy: ATF-EVENTROUTER-1

Additional Attributes:
FunctionalOrganization: SCHNEIDER ELECTRIC
incident_urgency: 3
incident_impact: 3


=====================================================

MK
Manisha Kumari
Work notes•2022-05-03 23:42:26
Hi SD team,

Please raise a sev3 ticket to DPSMAN team.","Problem - SYSA (IOCALERT) CTM3 SYSA-CTM282I MLCOT922 J12873 ENDED NOTOK RC=SB37 !           *

cause: [ Main Cause Type:Infrastructure;Sub Cause Type: File Space issues ]

Cause description :  File Space issue

Action: Increased space and restarted the job, job completed fine.

User confirmation - NA"
DPSMAN Global L2,"SYSA (IOCALERT) CTM3 SYSA-CTM282I MLMCSL11 J00653 ENDED NOTOK RC=2947 !           *                                     U-IOADMIN .Occurred @ 00:44:32 EventID: 20220414-1649997869-2083991-SYSA
EventSender: ATF-IOC-1
EventType: PERFORMANCE
EventSenderType: ATF-IOC-1
EventClass: IOCALERT
EventSeverity: 3
Hostname: SYSA
Message: CTM3 SYSA-CTM282I MLMCSL11 J00653 ENDED NOTOK RC=2947 !           *                                     U-IOADMIN .Occurred @ 00:44:32
ConfigItemIDType: CIID
ConfigItemID: SNC.G.P01.013947179
SupportGroup: 
TTCategory: Mainframe.JobSchedule.ProdCntl
CorrelationTime: SEV processed event after 5 min  
TimeOccured: 2022-04-15T04:44:29Z
CreatedBy: ATF-EVENTROUTER-1

Additional Attributes:
incident_urgency: 3
FunctionalOrganization: SCHNEIDER ELECTRIC
incident_impact: 3


AT
Ashish Thakar
Additional comments•2022-04-15 03:37:50
Saran has been notified for the same issue.

@Service Desk : Please raise a SEV 2 ticket for DPSMAN queue.
","Problem - CTM3 SYSA-CTM282I MLMCSL11 J00653 ENDED NOTOK RC=2947 !           *        

cause: [ Main Cause Type:Resource ;Sub Cause Type: File locked ]

Cause description : Required file being used by another job.

Action taken : Once file released, restart job from abend step. Job completed fine.

Customer Confirmation : NA"
DPSMAN Global L2,"SYSA (IOCALERT) CTM3 SYSA-CTM282I MLMCSL26 J29477 ENDED NOTOK RC=1808 **SWIVEL TICKET**

EventID: 20220531-1654016985-3480763-SYSA
EventSender: ATF-IOC-1
EventType: PERFORMANCE
EventSenderType: ATF-IOC-1
EventClass: IOCALERT
EventSeverity: 3
Hostname: SYSA
Message: CTM3 SYSA-CTM282I MLMCSL26 J29477 ENDED NOTOK RC=1808 !           *                                     U-IOADMIN .Occurred @ 13:09:59
ConfigItemIDType: CIID
ConfigItemID: SNC.G.P01.013947179
SupportGroup: 
TTCategory: Mainframe.JobSchedule.ProdCntl
CorrelationTime: SEV processed event after 5 min  
TimeOccured: 2022-05-31T17:09:45Z
CreatedBy: ATF-EVENTROUTER-1

Additional Attributes:
incident_impact: 3
incident_urgency: 3
FunctionalOrganization: SCHNEIDER ELECTRIC


MK
Manisha Kumari
Work notes•2022-05-31 15:23:50
Force completed job as per Aseem.

Hi SD team,

Please raise a SEV2 ticket to DPSMAN team.
","Issue: MLMCSL26 J29477 ENDED NOTOK RC=1808 !
             FTP service was not available due an accident on 5/31/22

Notes from Abel Aguilar Salazar from the infrastructure team: 
 Regarding this issue related to Brossard, today a car smashed in the fiber distribution plant took all the WAN connectivity out, the Local TP opened a Sev 1 Ticket today for this issue to connectivity team, we will keep you posted if something else is informed to our team
 
No sure what is the status of that issue as long as this is managed by connectivity team and at this moment from Infra SE Team, no action are needed until network is restored – thank you!
-------
As a result of this incident we backed up the file to be transferred to the server to be sent to the server when the issue get resolved.   

The issue was resolved when the server was back up on 6/1/22.  The next job run of MLMCSL26  was clean at 1:08 AM and the file was FTP 'ed successfully to the server."
DPSMAN Global L2,"SYSA (IOCALERT) CTM3 SYSA-CTM282I MLMRS151 J15295 ENDED NOTOK RC=0016 !  SYSA (IOCALERT) CTM3 SYSA-CTM282I MLMRS151 J15295 ENDED NOTOK RC=0016 !           *                                     U-IOADMIN .Occurred @ 23:44:45


EventID: 20220516-1652759016-4968750-SYSA
EventSender: ATF-IOC-1
EventType: PERFORMANCE
EventSenderType: ATF-IOC-1
EventClass: IOCALERT
EventSeverity: 3
Hostname: SYSA
Message: CTM3 SYSA-CTM282I MLMRS151 J15295 ENDED NOTOK RC=0016 !           *                                     U-IOADMIN .Occurred @ 23:44:45
ConfigItemIDType: CIID
ConfigItemID: SNC.G.P01.013947179
SupportGroup: 
TTCategory: Mainframe.JobSchedule.ProdCntl
CorrelationTime: SEV processed event after 5 min  
TimeOccured: 2022-05-17T03:43:36Z
CreatedBy: ATF-EVENTROUTER-1

Additional Attributes:
incident_urgency: 3
FunctionalOrganization: SCHNEIDER ELECTRIC
incident_impact: 3


======================================================

RA
Ragavi Abirajan
Additional comments•2022-05-16 23:51:07
Hi SD Team,
Please raise a SEV3 ticket to DPSMAN group.","Problem: SYSA (IOCALERT) CTM3 SYSA-CTM282I MLMRS151 J15295 ENDED NOTOK RC=0016 !           *  

Cause:: [ Main Cause Type:Scheduling issue;Sub Cause Type: Deadlock ]

Cause description : Deadlock issue cause in step STEP0010 'DBD NAME DBDIMF  STATUS CODE GG '

Action taken : Wait for deadlock to clear and restarted the job from abended step.
Job completed fine.

Customer Confirmation : NA"
DPSMAN Global L2,"SYSA (IOCALERT) CTM3 SYSA-CTM282I MLOEP250 J26274 ENDED NOTOK RC=S878 !           *                                     U-IOADMIN .Occurred @ 13:36:33 EventID: 20220329-1648575367-6303466-SYSA
EventSender: ATF-IOC-1
EventType: PERFORMANCE
EventSenderType: ATF-IOC-1
EventClass: IOCALERT
EventSeverity: 3
Hostname: SYSA
Message: CTM3 SYSA-CTM282I MLOEP250 J26274 ENDED NOTOK RC=S878 !           *                                     U-IOADMIN .Occurred @ 13:36:33
ConfigItemIDType: CIID
ConfigItemID: SNC.G.P01.013947179
SupportGroup: 
TTCategory: Mainframe.JobSchedule.ProdCntl
CorrelationTime: SEV processed event after 5 min  
TimeOccured: 2022-03-29T17:36:07Z
CreatedBy: ATF-EVENTROUTER-1

Additional Attributes:
incident_impact: 3
FunctionalOrganization: SCHNEIDER ELECTRIC
incident_urgency: 3


JM
Jenefer M
Work notes•2022-03-29 14:23:18

Hi SD Team,
Please create a SEV2 incident for DPSMAN group.
Job MLOEP250 J26274 ENDED NOTOK RC=S878 !
Notified to Aseem",Job MLOEP250 failed with UNSUCCESSFUL SORT 878 abend due to some SYNCSORT maintenance that took place over the weekend.  We changed the REGION=4096K parameter to REGION=0M in the JOBCARD and then had operation team re-started the job from top.   The REGION parameter change fixed the abend.   
DPSMAN Global L2,"SYSA (IOCALERT) CTM3 SYSA-CTM282I MLPCS030 J01912 ENDED NOTOK RC=1808 !           *                                     U-IOADMIN .Occurred @ 19:03:47 
SYSA (IOCALERT) CTM3 SYSA-CTM282I MLPCS030 J01912 ENDED NOTOK RC=1808 !           *                                     U-IOADMIN .Occurred @ 19:03:47

EventID: 20220531-1654038213-3588323-SYSA
EventSender: ATF-IOC-1
EventType: PERFORMANCE
EventSenderType: ATF-IOC-1
EventClass: IOCALERT
EventSeverity: 3
Hostname: SYSA
Message: CTM3 SYSA-CTM282I MLPCS030 J01912 ENDED NOTOK RC=1808 !           *                                     U-IOADMIN .Occurred @ 19:03:47
ConfigItemIDType: CIID
ConfigItemID: SNC.G.P01.013947179
SupportGroup: 
TTCategory: Mainframe.JobSchedule.ProdCntl
CorrelationTime: SEV processed event after 5 min  
TimeOccured: 2022-05-31T23:03:33Z
CreatedBy: ATF-EVENTROUTER-1

Additional Attributes:
incident_impact: 3
FunctionalOrganization: SCHNEIDER ELECTRIC
incident_urgency: 3


===============================================================

MK
Manisha Kumari
Work notes•2022-06-01 08:53:13
Hi SD team,

Please raise a sev2 ticket to DPSMAN team.","Problem: SYSA (IOCALERT) CTM3 SYSA-CTM282I MLPCS030 J01912 ENDED NOTOK RC=1808 !           * 

Cause: [ Main Cause Type: Infrastructure ;Sub Cause Type: FTP service unavailable ]

Cause description :  FTP service unavailable

Action taken : Restarted the job once FTP services are available. Job completed fine.

Customer Confirmation : NA"
DPSMAN Global L2,"SYSA (IOCALERT) CTM3 SYSA-CTM282I MTAMS720 J00747 ENDED NOTOK RC=2974 !           *            U-IOADMIN .Occurred @ 00:42:57 EventID: 20220414-1649997773-2083140-SYSA
EventSender: ATF-IOC-1
EventType: PERFORMANCE
EventSenderType: ATF-IOC-1
EventClass: IOCALERT
EventSeverity: 3
Hostname: SYSA
Message: CTM3 SYSA-CTM282I MTAMS720 J00747 ENDED NOTOK RC=2974 !           *                                     U-IOADMIN .Occurred @ 00:42:57
ConfigItemIDType: CIID
ConfigItemID: SNC.G.P01.013947179
SupportGroup: 
TTCategory: Mainframe.JobSchedule.ProdCntl
CorrelationTime: SEV processed event after 5 min  
TimeOccured: 2022-04-15T04:42:53Z
CreatedBy: ATF-EVENTROUTER-1

Additional Attributes:
incident_impact: 3
incident_urgency: 3
FunctionalOrganization: SCHNEIDER ELECTRIC



AT
Ashish Thakar
Additional comments•2022-04-15 03:42:08
Saran has been notified for the same issue.

@Service Desk : Please raise a SEV 2 ticket for DPSMAN queue.
","Problem - CTM3 SYSA-CTM282I MTAMS720 J00747 ENDED NOTOK RC=2974 !           *     

cause: [ Main Cause Type:Resource ;Sub Cause Type: File locked ]

Cause description : Required file being used by another job.

Action taken : Once file released, restart job from abend step. Job completed fine.

Customer Confirmation : NA"
DPSMAN Global L2,"SYSA (IOCALERT) CTM3 SYSA-CTM282I MTOEP060 J00640 ENDED NOTOK RC=S878 EventID: 20220419-1650413324-4502379-SYSA
EventSender: ATF-IOC-1
EventType: PERFORMANCE
EventSenderType: ATF-IOC-1
EventClass: IOCALERT
EventSeverity: 3
Hostname: SYSA
Message: CTM3 SYSA-CTM282I MTOEP060 J00640 ENDED NOTOK RC=S878 !           *                                     U-IOADMIN .Occurred @ 20:08:58
ConfigItemIDType: CIID
ConfigItemID: SNC.G.P01.013947179
SupportGroup: 
TTCategory: Mainframe.JobSchedule.ProdCntl
CorrelationTime: SEV processed event after 5 min  
TimeOccured: 2022-04-20T00:08:44Z
CreatedBy: ATF-EVENTROUTER-1

Additional Attributes:
incident_impact: 3
incident_urgency: 3
FunctionalOrganization: SCHNEIDER ELECTRIC


BS
Balashanmugham Sankaranarayanan

Additional comments•2022-04-19 20:53:08

SYSA (IOCALERT) CTM3 SYSA-CTM282I MTOEP060 J00640 ENDED NOTOK RC=S878 !
Informed Venkat
Ticket needs to be assigned to DPSMAN team with SEV3","Problem -CTM3 SYSA-CTM282I MTOEP060 J00640 ENDED NOTOK RC=S878 !           *  

cause: [ Main Cause Type:Infrastructure;Sub Cause Type: File Space issues ]

Cause description : Required Work space for sort step not enough

Action: Changed Region parameter to 0K and restarted the job from top, Job completed fine.

User confirmation - NA"
DPSMAN Global L2,"SYSA (IOCALERT) CTM3 SYSA-CTM282I MTOEP060 J09224 ENDED NOTOK RC=S878 EventID: 20220420-1650499810-5193678-SYSA
EventSender: ATF-IOC-1
EventType: PERFORMANCE
EventSenderType: ATF-IOC-1
EventClass: IOCALERT
EventSeverity: 3
Hostname: SYSA
Message: CTM3 SYSA-CTM282I MTOEP060 J09224 ENDED NOTOK RC=S878 !           *                                     U-IOADMIN .Occurred @ 20:10:26
ConfigItemIDType: CIID
ConfigItemID: SNC.G.P01.013947179
SupportGroup: 
TTCategory: Mainframe.JobSchedule.ProdCntl
CorrelationTime: SEV processed event after 5 min  
TimeOccured: 2022-04-21T00:10:10Z
CreatedBy: ATF-EVENTROUTER-1

Additional Attributes:
FunctionalOrganization: SCHNEIDER ELECTRIC
incident_urgency: 3
incident_impact: 3

KS
Kesavanarayanan S
Work notes•2022-04-20 20:29:58
A ticket needs to be assigned DPSMAN with sev2.

Escalating ticket to DPSMAN Global L2
","Problem - CTM3 SYSA-CTM282I MTOEP060 J09224 ENDED NOTOK RC=S878 !           *    

cause: [ Main Cause Type:Infrastructure;Sub Cause Type: File Space issues ]

Cause description : Required Work space for sort step not enough

Action: Changed Region parameter to 0K and restarted the job from top, Job completed fine.

User confirmation - NA"
DPSMAN Global L2,"SYSA (IOCALERT) CTM3 SYSA-CTM282I MTOEP060 J10243 ENDED NOTOK RC=S878 EventID: 20220404-1649117301-10118025-SYSA
EventSender: ATF-IOC-1
EventType: PERFORMANCE
EventSenderType: ATF-IOC-1
EventClass: IOCALERT
EventSeverity: 3
Hostname: SYSA
Message: CTM3 SYSA-CTM282I MTOEP060 J10243 ENDED NOTOK RC=S878 !           *                                     U-IOADMIN .Occurred @ 20:08:59
ConfigItemIDType: CIID
ConfigItemID: SNC.G.P01.013947179
SupportGroup: 
TTCategory: Mainframe.JobSchedule.ProdCntl
CorrelationTime: SEV processed event after 5 min  
TimeOccured: 2022-04-05T00:08:21Z
CreatedBy: ATF-EVENTROUTER-1

Additional Attributes:
incident_urgency: 3
FunctionalOrganization: SCHNEIDER ELECTRIC
incident_impact: 3

JM
Jenefer M

Work notes•2022-04-04 20:49:46

Hi SD Team,
Please create a SEV2 incident for DPSMAN group.
Job MTOEP060 J10243 ENDED NOTOK RC=S878 !
Notified to Aseem",Re-ran job MTOEP060 after increasing REGION=4096 to REGION=0M on the job card.  Then restarted job in ALLOCATE step.  The job ran successfully.
DPSMAN Global L2,"SYSA (IOCALERT) CTM3 SYSA-CTM282I MTOEP060 J17090 ENDED NOTOK EventID: 20220408-1649462755-12869821-SYSA
EventSender: ATF-IOC-1
EventType: PERFORMANCE
EventSenderType: ATF-IOC-1
EventClass: IOCALERT
EventSeverity: 3
Hostname: SYSA
Message: CTM3 SYSA-CTM282I MTOEP060 J17090 ENDED NOTOK RC=S878 !           *                                     U-IOADMIN .Occurred @ 20:06:41
ConfigItemIDType: CIID
ConfigItemID: SNC.G.P01.013947179
SupportGroup: 
TTCategory: Mainframe.JobSchedule.ProdCntl
CorrelationTime: SEV processed event after 5 min  
TimeOccured: 2022-04-09T00:05:55Z
CreatedBy: ATF-EVENTROUTER-1

Additional Attributes:
incident_impact: 3
incident_urgency: 3
FunctionalOrganization: SCHNEIDER ELECTRIC

AT
Ashish Thakar
Additional comments•2022-04-08 20:24:10
Saran has been notified for the subjected issue.

@Service Desk : Please raise a SEV 2 ticket for DPSMAN queue.

Escalating ticket to ","Problem - CTM3 SYSA-CTM282I MTOEP060 J17090 ENDED NOTOK RC=S878 !           *        

cause: [ Main Cause Type:Infrastructure;Sub Cause Type: File Space issues ]

Cause description : Required Work space for sort step not enough

Action: Changed Region parameter to 0K and restarted the job from top, Job completed fine.

User confirmation - NA"
DPSMAN Global L2,"SYSA (IOCALERT) CTM3 SYSA-CTM282I MTOEP060 J29195 ENDED NOTOK RC=S878 EventID: 20220414-1649981292-1967033-SYSA
EventSender: ATF-IOC-1
EventType: PERFORMANCE
EventSenderType: ATF-IOC-1
EventClass: IOCALERT
EventSeverity: 3
Hostname: SYSA
Message: CTM3 SYSA-CTM282I MTOEP060 J29195 ENDED NOTOK RC=S878 !           *                                     U-IOADMIN .Occurred @ 20:08:15
ConfigItemIDType: CIID
ConfigItemID: SNC.G.P01.013947179
SupportGroup: 
TTCategory: Mainframe.JobSchedule.ProdCntl
CorrelationTime: SEV processed event after 5 min  
TimeOccured: 2022-04-15T00:08:12Z
CreatedBy: ATF-EVENTROUTER-1

Additional Attributes:
incident_urgency: 3
FunctionalOrganization: SCHNEIDER ELECTRIC
incident_impact: 3


JM
Jenefer M

Work notes•2022-04-14 20:29:38

Hi SD Team,
Please create a SEV2 incident for DPSMAN group.
Job MTOEP060 J29195 ENDED NOTOK RC=S878 !
As per Saran,
• First REGION parameter has been changed from REGION=4096K To REGION=0M.
• And restarted Job MTOEP060 from ALLOCATE step and it completed fine.

MTOEP060 IOADMIN 041422 MTOEP060/29257 JOB Ended ""OK""","Problem - CTM3 SYSA-CTM282I MTOEP060 J29195 ENDED NOTOK RC=S878 !           * 

cause: [ Main Cause Type:Infrastructure;Sub Cause Type: File Space issues ]

Cause description : Required Work space for sort step not enough

Action: Changed Region parameter to 0K and restarted the job from top, Job completed fine.

User confirmation - NA"
DPSMAN Global L2,"SYSA (IOCALERT) CTM3 SYSA-CTM282I OXAM022J J04748 ENDED NOTOK RC=S0C7 !           *                                     U-IOADMIN .Occurred @ 03:16:21 **SWIVEL TICKET**

EventID: 20220519-1652944506-6571658-SYSA
EventSender: ATF-IOC-1
EventType: PERFORMANCE
EventSenderType: ATF-IOC-1
EventClass: IOCALERT
EventSeverity: 3
Hostname: SYSA
Message: CTM3 SYSA-CTM282I OXAM022J J04748 ENDED NOTOK RC=S0C7 !           *                                     U-IOADMIN .Occurred @ 03:16:21
ConfigItemIDType: CIID
ConfigItemID: SNC.G.P01.013947179
SupportGroup: 
TTCategory: Mainframe.JobSchedule.ProdCntl
CorrelationTime: SEV processed event after 5 min  
TimeOccured: 2022-05-19T07:15:06Z
CreatedBy: ATF-EVENTROUTER-1

Additional Attributes:
incident_impact: 3
FunctionalOrganization: SCHNEIDER ELECTRIC
incident_urgency: 3

MK
Manisha Kumari
Work notes•2022-05-19 11:26:15

Restarted from failed step and completed fine, as per saran.

Hi SD team,

Please raise a sev3 ticket to DPSMAN team.
","Problem: CTM3 SYSA-CTM282I OXAM022J J04748 ENDED NOTOK RC=S0C7 !           *    

Cause: [ Main Cause Type:Data;Sub Cause Type: Incorrect data ]

Cause description :  Input file date not in sync with the program.

Action taken : Removed the invalid data from file OXSQ.PRDPCS.GPAM023R and restarted job.
Job completed fine.
IP Backup: OXSQ.PRDPCS.GPAM023R.DTMY1922

Customer Confirmation : NA"
DPSMAN Global L2,"SYSA (IOCALERT) CTM3 SYSA-CTM282I OXAMS724 J22941 ENDED NOTOK RC=2947 !           *                                     U-IOADMIN .Occurred @ 03:29:36 EventID: 20220419-1650353365-3990329-SYSA
EventSender: ATF-IOC-1
EventType: PERFORMANCE
EventSenderType: ATF-IOC-1
EventClass: IOCALERT
EventSeverity: 3
Hostname: SYSA
Message: CTM3 SYSA-CTM282I OXAMS724 J22941 ENDED NOTOK RC=2947 !           *                                     U-IOADMIN .Occurred @ 03:29:36
ConfigItemIDType: CIID
ConfigItemID: SNC.G.P01.013947179
SupportGroup: 
TTCategory: Mainframe.JobSchedule.ProdCntl
CorrelationTime: SEV processed event after 5 min  
TimeOccured: 2022-04-19T07:29:25Z
CreatedBy: ATF-EVENTROUTER-1

Additional Attributes:
incident_impact: 3
FunctionalOrganization: SCHNEIDER ELECTRIC
incident_urgency: 3

MK
Manisha Kumari
Work notes•2022-04-19 04:17:32
Notified to saran
Hi SD team,

Please raise a sev3 ticket to DPSMAN.

OXAMS724 J22941 ENDED NOTOK RC=2947 !","Problem - CTM3 SYSA-CTM282I OXAMS724 J22941 ENDED NOTOK RC=2947 !           *  

cause: [ Main Cause Type:Resource ;Sub Cause Type: File locked ]

Cause description : Required file being used by another job.

Action taken : Once file released, restart job from abend step. Job completed fine.

Customer Confirmation : NA"
DPSMAN Global L2,"SYSA (IOCALERT) CTM3 SYSA-CTM282I OXBMS014 J19030 ENDED NOTOK RC=0016  ** SWIVEL TICKET **

EventID: 20220706-1657167310-725412-SYSA
EventSender: ATF-IOC-1
EventType: PERFORMANCE
EventSenderType: ATF-IOC-1
EventClass: IOCALERT
EventSeverity: 3
Hostname: SYSA
Message: CTM3 SYSA-CTM282I OXBMS014 J19030 ENDED NOTOK RC=0016 !           *                                     U-IOADMIN .Occurred @ 00:16:19
ConfigItemIDType: CIID
ConfigItemID: SNC.G.P01.013947179
SupportGroup: 
TTCategory: Mainframe.JobSchedule.ProdCntl
CorrelationTime: SEV processed event after 5 min  
TimeOccured: 2022-07-07T04:15:10Z
CreatedBy: ATF-EVENTROUTER-1

Additional Attributes:
incident_impact: 3
incident_urgency: 3
FunctionalOrganization: SCHNEIDER ELECTRIC


MK
Manisha Kumari
Work notes •2022-07-07 05:02:06

As per Saran restarted job from abended step and completed fine.

Hi SD Team,

Please raise a sev2 ticket to DPSMAN group.
","Problem:  CTM3 SYSA-CTM282I OXBMS014 J19030 ENDED NOTOK RC=0016 !           *  

Cause: [ Main Cause Type: Infrastructure ;Sub Cause Type: FTP service unavailable ]

Cause description :  FTP service unavailable 

Action taken : Restarted the job from abended step after service is available,
Job Completed fine.

Customer Confirmation : NA"
DPSMAN Global L2,"SYSA (IOCALERT) CTM3 SYSA-CTM282I OXCOT625 J17360 ENDED NOTOK RC=0016 !           *                                     U-IOADMIN .Occurred @ 12:30:56 EventID: 20220413-1649867400-1057079-SYSA
EventSender: ATF-IOC-1
EventType: PERFORMANCE
EventSenderType: ATF-IOC-1
EventClass: IOCALERT
EventSeverity: 3
Hostname: SYSA
Message: CTM3 SYSA-CTM282I OXCOT625 J17360 ENDED NOTOK RC=0016 !           *                                     U-IOADMIN .Occurred @ 12:30:56
ConfigItemIDType: CIID
ConfigItemID: SNC.G.P01.013947179
SupportGroup: 
TTCategory: Mainframe.JobSchedule.ProdCntl
CorrelationTime: SEV processed event after 5 min  
TimeOccured: 2022-04-13T16:30:00Z
CreatedBy: ATF-EVENTROUTER-1

Additional Attributes:
incident_impact: 3
incident_urgency: 3
FunctionalOrganization: SCHNEIDER ELECTRIC

JM
Jenefer M
Work notes•2022-04-13 12:51:56

Hi SD Team,
Please create a SEV2 incident for DPSMAN group.
Job OXCOT625 J17360 ENDED NOTOK RC=0016 !
Notified to Aseem.",Made user aware of the two bad orders.  Force completed the job.  The next scheduled run of job OXCOT625 was clean.
